**********************************
LOGGING TIME: 20181022_191544
CLIENT IP: 10.112.51.53
USERNAME: Kanakvi Aggarwal
OS: Windows 10
*********************Neutral database**********************************
MC, 1, 1541893272935
MM, 40, 25, 2277
MM, 40, 15, 12
MM, 41, 8, 10
MM, 49, 13, 36
MC, 1, 3509
MM, 157, 14, 12427
MM, 330, 23, 904
MM, 315, 23, 385
MM, 295, 26, 11
MM, 275, 31, 12
MM, 257, 36, 13
MM, 239, 40, 11
MM, 224, 43, 13
MM, 210, 46, 11
MM, 202, 47, 14
MM, 195, 47, 11
MM, 193, 47, 11
MM, 192, 47, 37
MM, 192, 46, 59
MM, 192, 45, 25
MM, 192, 44, 36
MM, 192, 43, 24
MM, 192, 42, 12
MM, 192, 41, 36
MC, 1, 391
MM, 192, 42, 56
MM, 191, 42, 107
MM, 190, 42, 12
MM, 188, 42, 13
MM, 186, 41, 13
MM, 183, 41, 10
MM, 177, 41, 12
MM, 169, 41, 12
MM, 161, 41, 14
MM, 153, 41, 11
MM, 142, 41, 11
MM, 134, 41, 14
MM, 122, 44, 11
MM, 111, 47, 11
MM, 103, 47, 13
MM, 93, 47, 12
MM, 87, 48, 13
MM, 80, 49, 13
MM, 74, 49, 10
MM, 69, 53, 13
MM, 61, 53, 11
MM, 50, 56, 12
MM, 38, 58, 13
MM, 29, 62, 11
MM, 9, 0, 84
MM, 8, 3, 13
MM, 6, 6, 12
MM, 5, 8, 13
MM, 3, 11, 11
MM, 4, 11, 72
MM, 4, 12, 12
MM, 4, 13, 12
MM, 5, 13, 26
MM, 6, 13, 22
MM, 7, 13, 13
MM, 7, 14, 24
MM, 8, 14, 14
MM, 9, 14, 12
MM, 10, 14, 58
MC, 1, 133
MM, 10, 13, 47
MC, 2, 146
MM, 11, 13, 23
MM, 12, 13, 13
MM, 14, 12, 24
MM, 19, 13, 12
MM, 35, 21, 11
MM, 8, 26, 14
MM, 19, 12, 71
MM, 16, 27, 24
MM, 10, 2, 40
MM, 15, 5, 9
MM, 18, 7, 11
MM, 21, 9, 14
MM, 23, 10, 10
MM, 26, 17, 12
MM, 30, 19, 12
MM, 33, 22, 13
MM, 35, 25, 11
MM, 37, 25, 12
MM, 39, 27, 12
MM, 40, 28, 13
MM, 41, 28, 60
MM, 42, 28, 36
MM, 43, 28, 24
MM, 2, 27, 60
MM, 5, 26, 12
MM, 9, 26, 12
MM, 10, 26, 12
MM, 12, 26, 12
MM, 13, 26, 26
MM, 13, 24, 203
MM, 12, 24, 49
MM, 11, 24, 13
MM, 10, 24, 23
MM, 8, 24, 23
MM, 5, 24, 12
MM, 37, 24, 27
MM, 22, 29, 10
MM, 217, 3, 35
MM, 203, 7, 13
MM, 190, 12, 12
MM, 179, 17, 14
MM, 173, 19, 10
MM, 168, 21, 12
MM, 165, 22, 12
MM, 161, 24, 12
MM, 159, 26, 12
MM, 157, 27, 14
MM, 156, 29, 11
MM, 154, 30, 11
MM, 151, 31, 12
MM, 149, 32, 12
MM, 148, 33, 15
MM, 147, 33, 9
MM, 147, 34, 12
MM, 146, 34, 13
MM, 149, 30, 229
MM, 149, 27, 12
MM, 148, 25, 12
MM, 148, 24, 13
MM, 146, 23, 11
MM, 144, 20, 12
MM, 142, 16, 12
MM, 138, 13, 12
MM, 136, 9, 12
MM, 130, 7, 12
MM, 127, 5, 12
MM, 123, 1, 13
MM, 26, 30, 59
MM, 25, 29, 13
MM, 25, 28, 48
MM, 25, 27, 11
MM, 25, 26, 13
MM, 24, 24, 12
MM, 23, 22, 23
MM, 22, 22, 37
MM, 26, 21, 241
MM, 39, 15, 14
MM, 8, 8, 10
MM, 0, 28, 24
MM, 21, 23, 14
MM, 33, 20, 11
MM, 9, 18, 24
MM, 21, 18, 11
MM, 33, 18, 12
MM, 39, 18, 12
MM, 6, 18, 24
MM, 10, 18, 12
MM, 15, 18, 14
MM, 18, 18, 11
MM, 23, 18, 11
MM, 26, 19, 13
MM, 29, 19, 11
MM, 31, 20, 14
MM, 32, 21, 12
MM, 33, 21, 34
MM, 30, 19, 265
MM, 26, 18, 13
MM, 19, 14, 13
MM, 6, 6, 11
MM, 27, 31, 48
MM, 19, 29, 12
MM, 14, 28, 14
MM, 11, 26, 10
MM, 6, 25, 12
MM, 4, 24, 14
MM, 1, 22, 13
MM, 0, 22, 10
MM, 41, 16, 35
MM, 39, 15, 13
MM, 37, 13, 12
MM, 35, 13, 13
MM, 34, 13, 11
MM, 33, 13, 11
MM, 32, 13, 14
MM, 32, 12, 11
MM, 31, 12, 12
MM, 30, 11, 25
MM, 30, 12, 134
MM, 29, 12, 46
MM, 28, 12, 25
MC, 1, 132
MM, 27, 12, 11
MM, 20, 11, 13
MM, 12, 9, 12
MM, 0, 9, 12
MM, 38, 9, 13
MM, 22, 8, 10
MM, 9, 6, 13
MM, 9, 7, 699
MM, 12, 11, 13
MM, 16, 19, 11
MM, 24, 29, 13
MM, 35, 0, 47
MM, 36, 3, 13
MM, 36, 4, 10
MM, 37, 8, 13
MM, 38, 10, 11
MM, 39, 11, 14
MM, 40, 13, 11
MM, 40, 14, 13
MM, 41, 14, 12
MM, 42, 15, 23
MM, 43, 15, 12
MM, 0, 16, 49
MM, 1, 16, 13
MM, 2, 16, 58
MM, 3, 16, 12
MM, 4, 16, 25
MM, 5, 16, 11
MM, 5, 17, 24
MM, 6, 17, 24
MM, 7, 17, 37
MM, 7, 18, 61
MM, 8, 18, 11
MM, 4, 12, 146
MM, 2, 12, 12
MM, 0, 8, 13
MM, 33, 29, 46
MM, 29, 25, 12
MM, 24, 18, 13
MM, 18, 12, 13
MM, 15, 9, 10
MM, 11, 4, 12
MM, 7, 0, 13
MC, 1, 472
MC, 1, 360
MM, 25, 29, 420
MM, 31, 29, 13
MM, 37, 29, 11
MM, 42, 29, 13
MM, 1, 29, 47
MM, 4, 29, 14
MM, 6, 29, 10
MM, 9, 29, 12
MM, 11, 29, 13
MM, 14, 29, 12
MM, 15, 29, 11
MM, 16, 29, 13
MM, 17, 29, 48
MM, 17, 28, 83
MM, 17, 27, 14
MM, 17, 25, 23
MM, 17, 24, 37
MM, 17, 22, 24
MM, 17, 21, 14
MM, 17, 20, 21
MM, 13, 21, 182
MM, 7, 21, 24
MM, 35, 19, 24
MM, 1, 19, 24
MM, 35, 19, 11
MM, 13, 20, 13
MM, 42, 7, 701
MM, 40, 9, 10
MM, 38, 10, 12
MM, 36, 12, 12
MM, 34, 14, 11
MM, 33, 16, 12
MM, 31, 16, 12
MM, 31, 15, 133
MM, 32, 14, 168
MM, 33, 14, 14
MM, 36, 15, 11
MM, 38, 17, 12
MM, 41, 20, 12
MM, 0, 29, 24
MM, 8, 2, 12
MM, 15, 5, 12
MM, 19, 12, 12
MM, 27, 23, 12
MM, 29, 2, 26
MM, 34, 11, 10
MM, 38, 18, 12
MM, 40, 21, 13
MM, 42, 23, 11
MM, 43, 25, 13
MM, 44, 26, 11
MM, 45, 28, 13
MM, 46, 29, 23
MM, 46, 30, 13
MM, 48, 30, 12
MM, 48, 29, 85
MM, 48, 27, 337
MM, 48, 26, 36
MM, 47, 25, 23
MM, 47, 24, 12
MM, 47, 22, 15
MM, 46, 21, 12
MM, 45, 20, 10
MM, 45, 19, 12
MM, 45, 15, 11
MM, 44, 12, 25
MM, 43, 10, 12
MM, 42, 3, 14
MM, 41, 18, 34
MM, 37, 16, 14
MM, 31, 9, 10
MM, 27, 5, 13
MM, 22, 2, 12
MM, 9, 31, 35
MM, 6, 26, 14
MM, 4, 23, 10
MM, 1, 20, 13
MM, 2, 4, 72
MM, 0, 31, 626
MM, 22, 1, 24
MM, 32, 1, 12
MM, 6, 1, 27
MM, 8, 31, 117
MM, 9, 31, 14
MM, 10, 30, 11
MM, 11, 30, 11
MM, 11, 29, 62
MM, 11, 27, 11
MM, 13, 24, 12
MM, 15, 20, 12
MM, 16, 18, 14
MM, 17, 17, 10
MM, 17, 16, 25
MM, 20, 21, 228
MM, 24, 23, 12
MM, 29, 24, 12
MM, 4, 30, 25
MM, 20, 0, 47
MM, 23, 2, 13
MM, 26, 3, 13
MM, 28, 4, 10
MM, 29, 4, 13
MM, 30, 4, 12
MM, 31, 5, 24
MM, 31, 6, 36
MM, 31, 7, 25
MM, 32, 7, 23
MM, 32, 8, 13
MM, 32, 9, 24
MM, 27, 5, 338
MM, 26, 4, 11
MM, 26, 3, 12
MM, 25, 3, 11
MM, 24, 3, 49
MM, 23, 4, 24
MM, 20, 5, 12
MM, 8, 12, 12
MM, 39, 24, 13
MM, 7, 2, 11
MM, 13, 28, 13
MM, 170, 1, 13
MM, 139, 16, 10
MM, 114, 24, 12
MM, 101, 27, 13
MM, 93, 27, 11
MM, 90, 27, 12
MM, 90, 28, 13
MM, 90, 29, 97
MM, 92, 24, 266
MM, 94, 22, 10
MM, 95, 19, 14
MM, 100, 15, 11
MM, 105, 11, 12
MM, 110, 6, 11
MM, 115, 3, 13
MM, 120, 1, 13
MM, 3, 26, 83
MM, 8, 22, 12
MM, 13, 20, 12
MM, 15, 20, 12
MM, 16, 20, 14
MM, 16, 19, 59
MM, 17, 19, 83
MM, 17, 19, 205
MM, 18, 17, 13
MM, 22, 12, 11
MM, 26, 5, 12
MM, 38, 31, 25
MM, 43, 26, 12
MM, 4, 18, 13
MM, 13, 14, 11
MM, 22, 9, 12
MM, 33, 1, 12
MM, 15, 29, 36
MM, 22, 24, 13
MM, 27, 21, 11
MM, 34, 19, 12
MM, 0, 17, 36
MM, 3, 17, 12
MM, 4, 17, 14
MM, 7, 17, 13
MM, 8, 16, 9
MM, 8, 15, 12
MM, 10, 15, 14
MM, 11, 15, 23
MM, 12, 15, 48
MM, 11, 15, 240
MM, 9, 15, 12
MM, 7, 15, 13
MM, 2, 14, 13
MM, 32, 14, 10
MM, 18, 13, 13
MM, 4, 13, 12
MM, 40, 13, 12
MM, 20, 13, 13
MM, 6, 13, 12
MM, 40, 15, 12
MM, 28, 16, 11
MM, 18, 18, 12
MM, 11, 18, 13
MM, 3, 18, 13
MM, 0, 18, 10
MC, 1, 641
MM, 8, 8, 82
MM, 9, 16, 12
MM, 9, 30, 12
MM, 9, 2, 12
MM, 12, 13, 13
MM, 12, 21, 11
MM, 12, 25, 12
MM, 104, 0, 24
MM, 104, 5, 12
MM, 104, 8, 13
MM, 104, 12, 13
MM, 104, 14, 11
MM, 104, 18, 27
MM, 104, 19, 2
MM, 104, 21, 6
MM, 104, 23, 12
MM, 104, 24, 26
MM, 104, 25, 37
MM, 103, 19, 300
MM, 102, 17, 13
MM, 98, 15, 10
MM, 94, 7, 12
MM, 90, 2, 12
MM, 38, 19, 24
MM, 32, 8, 14
MM, 23, 28, 22
MM, 19, 21, 12
MM, 17, 18, 13
MM, 13, 14, 13
MM, 9, 7, 10
MM, 8, 5, 14
MM, 7, 2, 12
MM, 12, 21, 517
MM, 26, 21, 13
MM, 38, 20, 10
MM, 6, 18, 25
MM, 13, 17, 12
MM, 17, 17, 12
MM, 23, 17, 13
MM, 31, 17, 13
MM, 40, 17, 10
MM, 2, 17, 36
MM, 4, 17, 12
MM, 6, 17, 13
MM, 7, 17, 12
MM, 7, 18, 50
MM, 7, 17, 46
MM, 8, 17, 84
MM, 9, 16, 38
MM, 10, 17, 167
MM, 17, 17, 14
MM, 25, 16, 10
MM, 2, 15, 24
MM, 10, 12, 12
MM, 19, 12, 12
MM, 25, 12, 13
MM, 0, 12, 23
MM, 5, 12, 12
MM, 9, 12, 12
MM, 12, 13, 12
MM, 16, 13, 12
MM, 17, 13, 27
MM, 18, 13, 10
MM, 19, 13, 12
MM, 20, 13, 12
MM, 21, 13, 23
MM, 21, 14, 25
MM, 21, 15, 85
MM, 14, 12, 169
MM, 12, 10, 12
MM, 8, 9, 10
MM, 1, 8, 13
MM, 25, 6, 12
MM, 6, 6, 12
MM, 30, 6, 12
MM, 8, 6, 13
MM, 36, 7, 13
MM, 18, 9, 10
MM, 0, 9, 12
MM, 32, 12, 13
MM, 14, 12, 13
MM, 0, 12, 10
MM, 13, 1, 724
MM, 22, 7, 11
MM, 31, 10, 13
MM, 40, 15, 12
MM, 2, 19, 14
MM, 13, 25, 10
MM, 6, 7, 47
MM, 13, 9, 13
MM, 18, 13, 13
MM, 23, 15, 11
MM, 26, 16, 12
MM, 32, 17, 13
MM, 34, 18, 11
MM, 38, 19, 11
MM, 38, 20, 26
MM, 36, 21, 458
MM, 35, 21, 23
MM, 35, 22, 12
MM, 34, 23, 11
MM, 33, 24, 25
MM, 33, 25, 12
MM, 31, 27, 12
MM, 29, 29, 14
MM, 25, 31, 10
MM, 160, 0, 60
MM, 158, 2, 13
MM, 157, 3, 12
MM, 156, 5, 11
MM, 155, 7, 12
MM, 153, 8, 14
MM, 152, 8, 10
MM, 152, 9, 12
MM, 152, 10, 13
MM, 152, 11, 196
MM, 152, 12, 8
MM, 152, 9, 230
MM, 152, 7, 13
MM, 152, 5, 11
MM, 152, 2, 13
MM, 153, 0, 12
MM, 14, 31, 71
MM, 15, 27, 13
MM, 17, 22, 11
MM, 18, 18, 12
MM, 19, 9, 12
MM, 20, 6, 14
MM, 20, 1, 10
MM, 18, 30, 38
MM, 19, 25, 10
MM, 21, 20, 12
MM, 23, 16, 13
MM, 23, 15, 11
MM, 25, 13, 12
MM, 25, 12, 13
MM, 25, 11, 12
MM, 25, 9, 12
MM, 26, 7, 11
MM, 27, 5, 13
MM, 28, 4, 11
MM, 28, 3, 13
MM, 29, 3, 12
MM, 30, 2, 13
MM, 30, 0, 10
MM, 0, 31, 49
MM, 1, 28, 12
MM, 3, 27, 12
MM, 4, 25, 12
MM, 5, 24, 12
MM, 6, 24, 12
MM, 6, 22, 12
MM, 7, 21, 12
MM, 8, 19, 12
MM, 8, 18, 36
MM, 9, 16, 13
MM, 10, 14, 13
MM, 11, 12, 11
MM, 13, 9, 11
MM, 14, 7, 13
MM, 14, 5, 14
MM, 15, 5, 10
MM, 16, 5, 74
MM, 16, 6, 22
MM, 16, 7, 13
MM, 17, 8, 12
MM, 18, 9, 11
MM, 18, 10, 12
MM, 19, 11, 14
MM, 20, 13, 22
MC, 1, 160
MM, 20, 14, 23
MM, 19, 14, 12
MM, 19, 15, 11
MM, 18, 18, 11
MM, 17, 21, 13
MM, 14, 25, 12
MM, 12, 31, 12
MM, 39, 20, 36
MM, 37, 24, 12
MM, 34, 29, 12
MM, 34, 3, 36
MM, 34, 6, 12
MM, 31, 9, 14
MM, 31, 12, 10
MM, 30, 16, 13
MM, 29, 18, 11
MM, 29, 20, 12
MM, 29, 21, 12
MM, 29, 22, 13
MM, 29, 23, 13
MM, 27, 25, 10
MM, 27, 27, 12
MM, 26, 28, 13
MM, 25, 28, 49
MM, 23, 21, 240
MM, 22, 18, 14
MM, 21, 14, 12
MM, 18, 9, 10
MM, 14, 0, 12
MM, 7, 29, 13
MM, 2, 22, 11
MM, 46, 11, 25
MM, 42, 6, 13
MM, 40, 2, 10
MM, 1, 13, 494
MM, 5, 12, 14
MM, 12, 11, 11
MM, 15, 11, 11
MM, 21, 11, 13
MM, 27, 11, 13
MM, 34, 10, 10
MM, 6, 8, 25
MM, 16, 8, 11
MM, 30, 7, 13
MM, 42, 7, 12
MM, 2, 7, 12
MM, 11, 7, 11
MM, 21, 7, 12
MM, 27, 7, 13
MM, 30, 6, 12
MM, 1, 5, 60
MM, 2, 5, 12
MM, 2, 6, 60
MM, 2, 7, 12
MM, 2, 8, 25
MM, 1, 8, 36
MM, 0, 9, 14
MM, 33, 11, 46
MM, 31, 11, 12
MM, 30, 12, 12
MM, 29, 12, 49
MM, 29, 13, 11
MM, 28, 13, 37
MC, 1, 157
MM, 30, 13, 11
MM, 31, 13, 14
MM, 33, 13, 10
MM, 35, 15, 14
MM, 5, 21, 23
MM, 14, 26, 11
MM, 21, 30, 12
MM, 19, 2, 37
MM, 21, 3, 12
MM, 24, 6, 12
MM, 25, 6, 12
MM, 27, 7, 12
MM, 29, 7, 13
MM, 31, 8, 11
MM, 32, 9, 12
MM, 32, 10, 36
MM, 32, 11, 61
MM, 33, 11, 24
MM, 28, 11, 168
MM, 25, 11, 12
MM, 19, 11, 12
MM, 7, 12, 14
MM, 42, 17, 10
MM, 30, 23, 12
MM, 13, 30, 13
MM, 29, 8, 23
MM, 14, 15, 12
MM, 34, 30, 24
MM, 153, 0, 25
MM, 148, 2, 14
MM, 145, 3, 10
MM, 142, 5, 12
MM, 139, 7, 12
MM, 137, 9, 13
MM, 135, 10, 11
MM, 134, 10, 13
MM, 133, 11, 13
MM, 133, 12, 22
MM, 133, 13, 111
MM, 134, 6, 178
MM, 134, 3, 13
MM, 134, 0, 11
MM, 40, 28, 72
MM, 38, 19, 13
MM, 37, 15, 13
MM, 35, 10, 10
MM, 34, 3, 13
MM, 33, 1, 12
MM, 4, 2, 506
MM, 11, 3, 12
MM, 19, 3, 14
MM, 24, 4, 10
MM, 29, 8, 12
MM, 31, 9, 13
MM, 31, 10, 12
MC, 1, 268
MM, 29, 9, 34
MM, 27, 7, 10
MM, 22, 6, 12
MM, 14, 5, 13
MM, 7, 2, 11
MM, 1, 13, 868
MM, 3, 12, 12
MM, 6, 12, 13
MM, 10, 12, 12
MM, 11, 12, 11
MM, 13, 12, 96
MM, 12, 14, 206
MM, 12, 15, 11
MM, 12, 16, 12
MM, 11, 19, 14
MM, 7, 27, 11
MM, 33, 7, 23
MM, 26, 20, 14
MM, 19, 31, 11
MM, 12, 6, 12
MM, 8, 16, 12
MM, 5, 23, 12
MM, 92, 5, 24
MM, 89, 11, 14
MM, 88, 18, 10
MM, 85, 25, 12
MM, 83, 28, 13
MM, 82, 29, 12
MM, 82, 31, 11
MM, 82, 32, 12
MM, 82, 34, 14
MM, 81, 37, 10
MM, 80, 37, 144
MM, 80, 35, 289
MM, 80, 34, 13
MM, 80, 33, 48
MM, 80, 32, 13
MM, 79, 32, 11
MM, 78, 32, 24
MM, 77, 31, 13
MM, 75, 29, 11
MM, 74, 27, 12
MM, 70, 24, 13
MM, 66, 21, 12
MM, 62, 19, 12
MM, 59, 16, 11
MM, 57, 14, 13
MM, 55, 12, 11
MM, 52, 10, 13
MM, 50, 8, 12
MM, 47, 6, 13
MM, 44, 3, 11
MM, 42, 2, 12
MM, 39, 0, 12
MM, 41, 31, 60
MM, 39, 29, 24
MM, 38, 29, 14
MM, 38, 28, 10
MM, 37, 28, 12
MM, 36, 28, 13
MM, 35, 27, 23
MM, 34, 27, 12
MM, 32, 26, 13
MM, 32, 25, 36
MM, 32, 24, 85
MM, 31, 23, 23
MM, 30, 23, 62
MM, 30, 22, 13
MM, 30, 21, 239
MM, 29, 21, 85
MM, 27, 19, 2
MM, 26, 19, 34
MM, 25, 19, 35
MM, 25, 18, 37
MM, 24, 18, 11
MM, 23, 18, 37
MM, 23, 17, 48
MM, 22, 17, 38
MM, 21, 16, 22
MM, 19, 15, 24
MM, 18, 13, 12
MM, 13, 12, 12
MM, 7, 11, 12
MM, 2, 9, 12
MM, 40, 8, 38
MM, 38, 8, 10
MM, 34, 7, 14
MM, 30, 7, 11
MM, 25, 7, 11
MM, 23, 7, 12
MM, 23, 6, 13
MM, 20, 6, 13
MM, 19, 6, 11
MM, 16, 6, 12
MM, 15, 6, 12
MM, 14, 6, 13
MM, 12, 6, 10
MM, 10, 4, 13
MM, 4, 3, 12
MM, 28, 30, 60
MM, 24, 27, 12
MM, 22, 26, 13
MM, 21, 25, 11
MM, 21, 24, 25
MM, 21, 23, 13
MM, 21, 22, 22
MM, 21, 21, 13
MM, 21, 20, 48
MC, 1, 170
MM, 22, 20, 22
MM, 23, 20, 37
MM, 26, 20, 12
MM, 29, 18, 12
MM, 37, 14, 13
MM, 5, 6, 23
MM, 12, 1, 13
MM, 35, 0, 1265
MM, 38, 9, 11
MM, 41, 25, 13
MM, 0, 19, 35
MM, 3, 25, 12
MM, 7, 29, 13
MM, 49, 1, 23
MM, 49, 4, 13
MM, 50, 6, 13
MM, 51, 8, 11
MM, 51, 9, 11
MM, 51, 10, 14
MM, 51, 11, 14
MM, 52, 11, 9
MM, 52, 12, 13
MM, 52, 13, 12
MM, 54, 10, 276
MM, 55, 8, 13
MM, 57, 7, 11
MM, 60, 6, 14
MM, 68, 2, 11
MM, 9, 23, 25
MM, 26, 16, 10
MM, 13, 1, 25
MM, 2, 25, 23
MM, 25, 14, 13
MM, 5, 3, 11
MM, 7, 30, 37
MM, 14, 29, 14
MM, 18, 29, 11
MM, 24, 29, 12
MM, 28, 28, 11
MM, 30, 28, 13
MM, 31, 28, 35
MM, 32, 28, 12
MM, 33, 28, 14
MM, 33, 27, 10
MM, 1, 18, 73
MM, 6, 16, 12
MM, 8, 16, 13
MM, 11, 14, 11
MM, 13, 13, 12
MM, 15, 12, 13
MM, 17, 12, 12
MM, 19, 12, 11
MM, 21, 12, 12
MM, 22, 12, 13
MM, 17, 12, 267
MM, 15, 12, 9
MM, 12, 12, 12
MM, 9, 12, 13
MM, 33, 12, 50
MM, 28, 12, 9
MM, 22, 14, 12
MM, 14, 14, 13
MM, 4, 14, 15
MM, 33, 14, 21
MM, 29, 14, 13
MM, 24, 14, 11
MM, 21, 14, 13
MM, 20, 14, 12
MM, 19, 14, 14
MM, 18, 13, 322
MM, 13, 14, 12
MM, 2, 22, 13
MM, 38, 30, 11
MM, 5, 5, 13
MM, 35, 18, 12
MM, 0, 3, 23
MM, 35, 10, 12
MM, 17, 17, 14
MM, 2, 21, 11
MM, 42, 26, 11
MM, 33, 29, 13
MM, 27, 29, 12
MM, 18, 30, 12
MM, 12, 30, 12
MM, 8, 31, 12
MM, 4, 31, 11
MM, 3, 31, 13
MM, 1, 31, 12
MM, 0, 31, 13
MM, 43, 31, 84
MM, 41, 31, 11
MM, 36, 30, 13
MM, 33, 29, 12
MM, 31, 27, 13
MM, 29, 26, 11
MM, 28, 25, 11
MM, 27, 24, 14
MM, 27, 22, 10
MM, 27, 21, 39
MM, 27, 20, 35
MC, 1, 229
MM, 28, 20, 11
MM, 29, 20, 26
MM, 29, 21, 10
MM, 30, 21, 12
MM, 34, 22, 12
MM, 38, 22, 14
MM, 40, 23, 10
MM, 3, 25, 37
MM, 8, 25, 11
MM, 18, 25, 13
MM, 29, 25, 13
MM, 37, 24, 11
MM, 8, 20, 26
MM, 19, 15, 12
MM, 33, 12, 10
MM, 10, 6, 25
MM, 22, 4, 11
MM, 32, 3, 12
MM, 41, 1, 12
MM, 12, 31, 49
MM, 19, 30, 11
MM, 24, 28, 12
MM, 28, 26, 12
MM, 33, 26, 13
MM, 36, 26, 11
MM, 41, 26, 12
MM, 0, 21, 48
MM, 2, 20, 13
MM, 4, 19, 11
MM, 6, 19, 12
MM, 7, 19, 12
MM, 8, 19, 15
MM, 9, 19, 35
MM, 9, 18, 11
MM, 10, 18, 12
MM, 12, 18, 12
MM, 13, 18, 36
MM, 13, 19, 27
MC, 1, 144
MM, 12, 19, 11
MM, 11, 19, 13
MM, 11, 18, 10
MM, 9, 17, 13
MM, 5, 16, 11
MM, 28, 12, 25
MM, 2, 6, 12
MM, 0, 29, 24
MM, 22, 1, 830
MM, 23, 3, 13
MM, 23, 4, 13
MM, 23, 5, 23
MM, 23, 7, 48
MM, 23, 9, 27
MM, 23, 10, 34
MM, 22, 10, 11
MM, 22, 13, 26
MM, 22, 14, 22
MC, 1, 182
MM, 24, 14, 47
MM, 25, 14, 13
MM, 28, 16, 12
MM, 33, 18, 12
MM, 41, 20, 12
MM, 3, 23, 12
MM, 18, 24, 11
MM, 35, 24, 13
MM, 5, 24, 12
MM, 23, 28, 12
MM, 40, 29, 12
MM, 8, 3, 48
MM, 28, 4, 12
MM, 1, 6, 24
MM, 11, 8, 12
MM, 20, 11, 13
MM, 24, 12, 13
MM, 29, 13, 11
MM, 30, 13, 11
MM, 31, 14, 14
MM, 33, 14, 23
MM, 35, 15, 26
MM, 36, 15, 10
MM, 38, 15, 12
MM, 40, 16, 13
MM, 43, 16, 11
MM, 2, 17, 38
MM, 6, 17, 10
MM, 9, 17, 13
MM, 10, 18, 13
MM, 11, 18, 13
MM, 12, 18, 70
MM, 13, 18, 13
MM, 14, 18, 11
MC, 1, 193
MM, 15, 18, 48
MM, 17, 16, 13
MM, 22, 12, 11
MM, 27, 10, 11
MM, 32, 9, 14
MM, 38, 6, 10
MM, 272, 2, 3147
MM, 272, 12, 11
MM, 272, 24, 14
MM, 272, 36, 10
MM, 273, 52, 12
MM, 33, 2, 48
MM, 41, 21, 14
MM, 30, 26, 1167
MM, 39, 7, 24
MM, 26, 19, 11
MM, 38, 12, 24
MM, 23, 26, 13
MM, 99, 2, 12
MM, 93, 17, 13
MM, 84, 33, 10
MM, 4, 55, 295966
MM, 311, 1, 71
MM, 378, 10, 425
MM, 386, 21, 44
MM, 392, 34, 13
MM, 402, 45, 12
MM, 412, 58, 11
MM, 26, 1, 290
MM, 27, 7, 12
MM, 27, 11, 11
MM, 29, 13, 13
MM, 29, 14, 24
MM, 30, 14, 157
