**********************************
LOGGING TIME: 20161114_085954
CLIENT IP: 10.117.7.42
USERNAME: Renu
OS: Windows 10
*********************Neutral database**********************************
MM, 58, 15, 1477468751071
MM, 48, 13, 11
MM, 41, 11, 13
MM, 35, 11, 11
MM, 30, 11, 14
MM, 26, 10, 11
MM, 13, 9, 62
MM, 13, 8, 47
MM, 13, 7, 25
MM, 12, 7, 85
MM, 12, 8, 291
MM, 12, 7, 11
MC, 1, 195
MM, 13, 9, 195
MM, 13, 12, 11
MM, 15, 16, 13
MM, 105, 7, 36
MM, 136, 15, 25
MM, 116, 19, 85
MM, 129, 58, 12
MM, 22, 3, 303
MM, 13, 16, 13
MM, 7, 27, 12
MM, 3, 28, 12
MM, 37, 2, 194
MM, 36, 6, 13
MM, 35, 6, 11
MM, 31, 13, 61
MM, 30, 13, 37
MM, 29, 13, 36
MM, 29, 14, 12
MM, 28, 14, 12
MM, 26, 15, 12
MM, 26, 16, 13
MM, 25, 16, 12
MC, 1, 498
MM, 23, 16, 48
MM, 8, 16, 61
MM, 4, 15, 12
MM, 42, 13, 37
MM, 40, 13, 12
MM, 37, 13, 12
MM, 36, 13, 25
MM, 35, 13, 12
MM, 34, 13, 36
MM, 33, 13, 24
MM, 32, 13, 13
MM, 31, 13, 24
MM, 30, 13, 24
MM, 30, 10, 72
MM, 32, 10, 170
MM, 31, 10, 12
MC, 1, 194
MM, 32, 10, 110
MM, 35, 10, 13
MM, 38, 10, 11
MM, 10, 12, 25
MM, 22, 15, 12
MM, 42, 21, 12
MM, 24, 30, 12
MM, 39, 1, 12
MM, 19, 9, 12
MM, 9, 21, 24
MM, 20, 24, 12
MM, 181, 2, 86
MM, 183, 2, 12
MM, 185, 3, 61
MM, 185, 2, 121
MM, 185, 1, 12
MM, 185, 0, 12
MM, 19, 31, 73
MM, 19, 30, 12
MM, 19, 28, 13
MM, 19, 27, 12
MM, 18, 26, 13
MM, 18, 23, 11
MM, 17, 21, 13
MM, 17, 20, 12
MM, 17, 18, 11
MM, 17, 17, 13
MM, 17, 16, 24
MM, 17, 17, 243
MM, 17, 15, 11
MC, 1, 194
MM, 16, 13, 110
MM, 13, 10, 13
MM, 12, 8, 11
MM, 10, 4, 12
MM, 10, 2, 13
MM, 3, 31, 37
MM, 1, 29, 12
MM, 1, 28, 12
MM, 46, 6, 169
MM, 45, 4, 13
MM, 45, 2, 12
MM, 43, 1, 12
MC, 1, 583
MM, 4, 1, 147
MM, 18, 21, 84
MM, 19, 23, 12
MM, 20, 23, 12
MM, 20, 24, 12
MM, 20, 25, 25
MM, 22, 25, 11
MM, 22, 26, 25
MM, 23, 26, 24
MC, 1, 448
MM, 24, 26, 75
MM, 27, 25, 12
MM, 29, 24, 12
MM, 31, 24, 12
MM, 34, 22, 12
MM, 40, 19, 12
MM, 4, 16, 24
MM, 10, 14, 12
MM, 1, 31, 110
MM, 3, 31, 12
MM, 7, 29, 11
MM, 9, 29, 14
MM, 12, 29, 11
MM, 15, 26, 13
MM, 16, 26, 12
MM, 19, 25, 12
MM, 20, 25, 12
MM, 21, 25, 13
MM, 22, 25, 12
MM, 24, 24, 23
MM, 25, 24, 24
MM, 27, 24, 12
MM, 28, 24, 13
MM, 29, 24, 12
MM, 30, 24, 12
MM, 31, 24, 12
MM, 32, 24, 24
MM, 33, 24, 25
MM, 35, 24, 12
MM, 0, 23, 85
MM, 1, 22, 12
MM, 2, 22, 13
MM, 3, 22, 12
MM, 4, 21, 24
MM, 4, 20, 49
MM, 6, 18, 122
MC, 1, 387
MM, 4, 18, 170
MM, 0, 18, 13
MM, 35, 18, 12
MM, 17, 18, 12
MM, 40, 19, 12
MM, 1, 24, 12
MM, 18, 8, 37
MM, 34, 14, 13
MM, 21, 18, 11
MM, 5, 25, 12
MM, 15, 2, 36
MM, 12, 2, 12
MM, 6, 2, 12
MM, 4, 2, 13
MM, 40, 0, 24
MM, 36, 0, 12
MM, 33, 0, 13
MM, 29, 0, 11
MM, 23, 0, 12
MM, 21, 0, 12
MM, 8, 31, 86
MM, 7, 30, 12
MM, 5, 27, 37
MM, 4, 26, 11
MM, 4, 23, 13
MM, 4, 22, 12
MM, 4, 21, 12
MM, 4, 20, 24
MM, 4, 19, 25
MM, 4, 18, 109
MM, 5, 19, 231
MM, 5, 18, 11
MC, 1, 193
MM, 8, 18, 111
MM, 11, 18, 12
MM, 22, 18, 25
MM, 33, 18, 12
MM, 16, 24, 24
MM, 35, 29, 12
MM, 2, 29, 12
MM, 12, 1, 12
MM, 22, 3, 12
MM, 26, 3, 12
MM, 34, 1, 13
MM, 39, 0, 12
MM, 12, 30, 37
MM, 17, 30, 12
MM, 20, 30, 12
MM, 23, 30, 12
MM, 24, 30, 12
MM, 25, 29, 12
MM, 26, 29, 13
MM, 28, 28, 12
MM, 31, 27, 11
